feature,importance
cat__BsmtFinType2_Unf,0.0
cat__Heating_Floor,0.0
cat__Heating_GasW,0.0
cat__Heating_Grav,0.0
cat__HeatingQC_Po,0.0
cat__HeatingQC_Fa,0.0
cat__Heating_Wall,0.0
cat__BsmtFinType1_Unf,0.0
cat__BsmtFinType1_None,0.0
cat__BsmtExposure_None,0.0
cat__BsmtCond_None,0.0
cat__BsmtCond_Po,0.0
cat__BsmtFinType1_BLQ,0.0
cat__BsmtExposure_Mn,0.0
cat__Neighborhood_Mitchel,0.0
cat__Foundation_Wood,0.0
cat__BsmtQual_Fa,0.0
cat__LandContour_Low,0.0
cat__HeatingQC_TA,0.0
cat__GarageType_None,0.0
cat__Electrical_FuseP,0.0
cat__Electrical_FuseF,0.0
cat__Electrical_SBrkr,0.0
cat__GarageCond_Ex,0.0
cat__GarageCond_Fa,0.0
cat__GarageCond_Gd,0.0
cat__GarageCond_None,0.0
cat__GarageCond_Po,0.0
cat__GarageType_Basment,0.0
cat__GarageType_2Types,0.0
cat__FireplaceQu_Fa,0.0
cat__Electrical_FuseA,0.0
cat__Electrical_None,0.0
cat__Utilities_NoSeWa,0.0
cat__LotConfig_FR3,0.0
cat__Utilities_AllPub,0.0
cat__GarageQual_Ex,0.0
cat__GarageQual_Po,0.0
cat__GarageQual_None,0.0
cat__Alley_Grvl,0.0
cat__Street_Pave,0.0
cat__Street_Grvl,0.0
cat__MSZoning_RH,0.0
cat__GarageQual_Fa,0.0
cat__GarageQual_Gd,0.0
cat__PavedDrive_P,0.0
cat__GarageFinish_None,0.0
cat__SaleCondition_AdjLand,0.0
cat__SaleCondition_Alloca,0.0
cat__SaleCondition_Normal,0.0
cat__SaleType_Oth,0.0
cat__SaleType_ConLD,0.0
cat__SaleType_ConLI,0.0
cat__SaleType_ConLw,0.0
cat__SaleType_Con,0.0
